gtin,canonical,mode_brand,mode_flavor,mode_type,salient_ngrams,dropped_redundant_ngrams,volume_set,pack_set,package_type_set,package_material_set,volume_confidence,pack_confidence,volume_consistency,pack_consistency,n_titles,description_evidence,breadcrumb_evidence
100000982945,monini coffee concentrate_new_improved_version,Monini,coffee,,['concentrate_new_improved_version'],"['coffee_concentrate_new_improved', 'new_improved_version_sweetener', 'improved_version_sweetener_unsweetened', 'version_sweetener_unsweetened_volume']",[1000.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* All products are Kosher \n* Does not contain HFSC ( High Fructose Corn Syrup) \n* Unsweetened \n* 1 liter plastic bottle \n"""" ; Food Condition Shelf- Stable / Ambient ; Nutrient Content Claims Vegan ;']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Cold Brew Coffee""""]']"
100140705596,strike force water kr_white_grape_flavored carbonated,Strike Force,,water,"['kr_white_grape_flavored', 'carbonated']","['white_grape_flavored_sparkling', 'grape_flavored_sparkling_bottled', 'sparkling_bottled_water_carbonization', 'bottled_water_carbonization_sparkling', 'sparkling']",[1000.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140706722,strike force strawberry water carbonated,Strike Force,strawberry,water,['carbonated'],"['kr_strawberry_lemonade_flavored', 'strawberry_lemonade_flavored_seltzer', 'lemonade_flavored_seltzer_water', 'pk_water_type_seltzer', 'seltzer_water_pk_water']",[355.0],[2],['can'],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 12.0 servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydr']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140707828,strike force water kr_pink_grapefruit_flavored carbonated,Strike Force,,water,"['kr_pink_grapefruit_flavored', 'carbonated']","['pink_grapefruit_flavored_seltzer', 'grapefruit_flavored_seltzer_water', 'seltzer_flavour_grapefruit_type', 'flavour_grapefruit_type_carbonization']",[355.0],[2],['can'],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 12.0 servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydr']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140709075,strike force lime water flavoured_caffeine_15_carbonization carbonated_type_liquid_flavour,Strike Force,lime,water,"['flavoured_caffeine_15_carbonization', 'carbonated_type_liquid_flavour']","['sparkling_type_liquid_flavour', 'liquid_flavour_lime_volume', '15_carbonization_sparkling_type', 'type_liquid_flavour_lime', 'sparkling']",[1000.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140791131,strike force lime water calcium_iron_volume_flavour flavoured_carbonization_carbonated_type,Strike Force,lime,water,"['calcium_iron_volume_flavour', 'flavoured_carbonization_carbonated_type']","['iron_volume_flavour_lime', 'flavoured_carbonization_sparkling_type', 'volume_flavour_lime_water', 'iron_volume_flavour', 'sparkling']",[1000.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 3.0 servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fat \n* Trans Fat']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100140792213,strike force orange water carbonated,Strike Force,orange,water,['carbonated'],"['mandarin_orange', 'kr_mandarin_orange_flavored', 'pk_type_volume_water', 'mandarin_orange_flavored_seltzer', 'orange_flavored_seltzer_water']",[355.0],[12],['can'],[],0.9,0.85,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* servings per container \n* Serving size 1 can (354mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium10mg Sodium \n* Total Carbohydrate0g']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100141403330,g zero sugar_sports_drink_carbonization still,G Zero,,,"['sugar_sports_drink_carbonization', 'still']","['zero_fruit_punch_zero', 'punch_zero_sugar_sports', 'fruit_punch_zero_sugar', 'sports_drink_carbonization_still', 'no_sugar', 'sugar_free']",[828.0],[3],[],[],0.9,0.9,1.0,1.0,1,"['""""G Zero Fruit Punch Zero Sugar Sports Drink, 28 fl oz- Pack of 3"""" ; Brand Gatorade']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100141411823,barissimo coffee caramel_macchiato_iced still,Barissimo,coffee,,"['caramel_macchiato_iced', 'still']","['caramel_macchiato_iced_coffee', 'macchiato_iced_coffee_type', 'iced_coffee_type_juice', 'juice_content_flavour_caramel']",[1892.7],[2],[],[],0.85,0.9,1.0,1.0,1,"['"""" Caramel Macchiato Iced Coffee, 64 fl oz- Pack of 2"""" ; Brand Barissimo']","['["""" Food"""","""" Coffee"""","""" Iced Coffee""""]']"
100141411847,g zero lemon sugar_sports_drink_flavour still,G Zero,lemon,,"['sugar_sports_drink_flavour', 'still']","['zero_lemon_lime_zero', 'lime_zero_sugar_sports', 'sports_drink_flavour_lemon', 'lemon_lime_volume_828', 'no_sugar', 'sugar_free']",[828.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['""""G Zero Lemon Lime Zero Sugar Sports Drink, 28 fl oz- Pack of 2"""" ; Brand Gatorade']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100141418631,barissimo coffee 1420_juice_content_flavour still,Barissimo,coffee,,"['1420_juice_content_flavour', 'still']","['medium_roast_iced_coffee', 'roast_iced_coffee_volume', 'iced_coffee_volume_1420', 'coffee_volume_1420_juice']",[1420.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Elevate your coffee experience with Barissimo Medium Roast Iced Coffee from ALDI \n* This deliciously smooth and satisfying beverage strikes a great balance between boldness and sweetness, making']","['["""" Food"""","""" Coffee"""","""" Iced Coffee""""]']"
100141457524,starbucks frappuccino vanilla packaging_may_vary_coffee still,Starbucks Frappuccino Vanilla,vanilla,,"['packaging_may_vary_coffee', 'still']","['may_vary_coffee_type', 'vary_coffee_type_arabica', 'vanilla_coffee_volume_281', 'coffee_volume_281_rtd']",[281.0],[2],['bottle'],[],0.9,0.9,1.0,1.0,1,"['"""" \n* pack of four 9.5 oz. glass bottles \n* Only 200 calories per bottle \n* Great for in the morning or on the go \n* Discover Vanilla Frappuccino coffee drink, a creamy blend of coffee and milk, mixed']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Starbucks Frappuccino""""]']"
100141561399,g zero thirst_quencher_grape_packaging no_sugar still,G Zero,,,"['thirst_quencher_grape_packaging', 'no_sugar', 'still']","['gatorade_sports_drinks_zero', 'sports_drinks_zero_thirst', 'drinks_zero_thirst_quencher', 'zero_thirst_quencher_grape', 'sugar_free']",[828.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* * Includes 1 (28oz) bottle of Gatorade Zero Thirst Quencher, Grape flavor \n* Gatorade Zero has no sugar while maintaining the same proven hydration and fueling benefits of Gatorade Thirst Quenche']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100141564826,starbucks frappuccino vanilla packaging_may_vary_carbonization 281_juice_content_coffee still,Starbucks Frappuccino Vanilla,vanilla,,"['packaging_may_vary_carbonization', '281_juice_content_coffee', 'still']","['may_vary_carbonization_still', 'vary_carbonization_still_volume', 'type_arabica_flavour_vanilla']",[281.0],[4],['bottle'],[],0.9,0.85,1.0,1.0,1,"['"""" \n* pack of four 9.5 oz. glass bottles \n* Only 200 calories per bottle \n* Great for in the morning or on the go \n* Discover Vanilla Frappuccino coffee drink, a creamy blend of coffee and milk, mixed']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Starbucks Frappuccino""""]']"
100141649301,strike force orange juice concentrate_original_packaging_may still,Strike Force,orange,juice,"['concentrate_original_packaging_may', 'still']","['juice_concentrate_original_packaging', 'original_packaging_may_vary', 'may_vary_flavour_orange', 'vary_flavour_orange_made']",[473.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 2.0 servings per container \n* Serving size 1 container (473 mL) \n* Amount per serving \n* Calories 120 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated Fa']","['["""" Food"""","""" Beverages"""","""" Tea"""","""" Iced Tea""""]']"
100141829093,fast twitch strawberry energy watermelon_type_carbonization_still,Fast Twitch,strawberry,energy,['watermelon_type_carbonization_still'],"['strawberry_watermelon', 'gatorade_strawberry_watermelon_type', 'strawberry_watermelon_type_carbonization', 'strawberry_watermelon_type', 'still']",[355.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* * Nutrition Facts \n* servings per container \n* Serving size 1 bottle (355 mL) \n* Amount per serving \n* Calories 10 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium170mg Sodium \n* Total Carboh']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100141843976,strike force pineapple water coconut_flavored_carbonated_bottled,Strike Force,pineapple,water,['coconut_flavored_carbonated_bottled'],"['pineapple_coconut', 'kr_pineapple_coconut_flavored', 'pineapple_coconut_flavored_sparkling', 'coconut_flavored_sparkling_bottled', 'sparkling_bottled_water_volume', 'sparkling']",[1000.0],[2],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* * Nutrition Facts \n* 3.0 Exact servings per container \n* Serving size 12 fl oz (360mL) \n* Amount per serving \n* Calories 0 \n* % Daily value* \n* Total Fat0g Total Fat \n* Saturated Fat0g Saturated']","['["""" Food"""","""" Beverages"""","""" Water"""","""" Flavored Water"""","""" All Flavored Water""""]']"
100141866852,strike force orange juice homestyle_pulp_carbonization_still,Strike Force,orange,juice,['homestyle_pulp_carbonization_still'],"['kr_orange_juice_homestyle', 'orange_juice_homestyle_pulp', 'juice_homestyle_pulp_carbonization', 'orange_volume_1538_contains', 'pulp', 'still', 'with_pulp']",[1538.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* * Nutrition Facts \n* 7.0 servings per container \n* Serving size 8 fl oz (240 mL) \n* Amount per serving \n* Calories 120 \n* % Daily value* \n* Total Fat0g Total Fat \n* Sodium5mg Sodium \n* Total Carb']","['["""" Food"""","""" Beverages"""","""" Juices"""","""" Orange Juice"""","""" All Orange Juice""""]']"
100141871429,strike force orange juice concentrate_original_carbonization_still,Strike Force,orange,juice,['concentrate_original_carbonization_still'],"['juice_concentrate_original_carbonization', 'original_carbonization_still_made', 'calcium_iron_type_juice', 'iron_type_juice_features', 'still']",[473.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['"""" \n* * Nutrition Facts \n* 2.0 servings per container \n* Serving size 8 fl oz (240mL) \n* Amount per serving \n* Calories 240 \n* % Daily value* \n* Total Fat0.5g Total Fat \n* Sodium10mg Sodium \n* Total Ca']","['["""" Food"""","""" Beverages"""","""" Tea"""","""" Iced Tea""""]']"
100142249111,community coffee mocha white_chocolate_iced_latte still,Community Coffee,coffee,,"['mocha', 'white_chocolate_iced_latte', 'still']","['community_coffee_mocha_white', 'coffee_mocha_white_chocolate', 'mocha_white_chocolate_iced']",[405.16],[1],['bottle'],[],0.75,0.95,1.0,1.0,1,"['"""" \n* * Mocha White Chocolate: Indulge in the sweet swirl of milk chocolate and white chocolate flavors in this rich, creamy iced latte \n* Ready To Drink: Convenient and portable, our Iced Lattes come']","['["""" Food"""","""" Coffee"""","""" Coffee & Coffee Pods""""]']"
100142249128,community coffee still,Community Coffee,coffee,,['still'],"['community_coffee_iced_latte', 'coffee_iced_latte_coffee', 'iced_latte_coffee_drink', 'latte_coffee_drink_caramel', 'coffee_drink_caramel_pralines']",[500.0],[12],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Community Coffee Iced Latte Coffee Drink, Caramel Pralines & Cream, Natural Flavors, 13.7 Fluid Ounce ( Pack of 12) \n"""" ; Brand Community Coffee']","['["""" Food"""","""" Coffee"""","""" Coffee Flavors"""","""" Caramel Coffee""""]']"
100142347862,starbucks frappuccino vanilla vary_volume_281_juice still,Starbucks Frappuccino Vanilla,vanilla,,"['vary_volume_281_juice', 'still']","['281_juice_content_rtd', 'style_milk_frappuccino_flavour', 'milk_frappuccino_flavour_vanilla', 'milk_frappuccino_flavour']",[281.0],[4],['bottle'],[],0.9,0.85,1.0,1.0,1,"['"""" \n* pack of four 9.5 oz. glass bottles \n* Only 200 calories per bottle \n* Great for in the morning or on the go \n* Discover Vanilla Frappuccino coffee drink, a creamy blend of coffee and milk, mixed']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Starbucks Frappuccino""""]']"
100142790682,starbucks frappuccino vanilla coffee_drink_4pk_glass still,Starbucks Frappuccino Vanilla,vanilla,,"['coffee_drink_4pk_glass', 'still']","['starbucks_frappuccino_vanilla_coffee', 'frappuccino_vanilla_coffee_drink', 'vanilla_coffee_drink_4pk', 'drink_4pk_glass_rtd']",[281.0],[4],['bottle'],['glass'],0.9,0.85,1.0,1.0,1,"['"""" \n* * Enjoy your favorite chilled coffee drink on the go \n* The perfect late afternoon pick-me-up, this cold coffee treat is great straight from the bottle or enjoyed over ice \n* Inspired by a classi']","['["""" Food"""","""" Coffee"""","""" Coffee & Coffee Pods""""]']"
100142839770,dunkin coffee cold_concentrate_original_medium still,Dunkin',coffee,,"['cold_concentrate_original_medium', 'still']","['dunkin_cold_concentrate_original', 'concentrate_original_medium_roast', 'original_medium_roast_coffee', 'medium_roast_coffee_roast']",[916.78],[1],[],[],0.75,0.95,1.0,1.0,1,"['"""" \n* * Contains one (1) 31-oz. bottle of cold brew coffee concentrate \n* Just add water to enjoy delicious cold brew coffee at home \n* Bold and smooth, just the way you like it \n* Specially roasted fo']","['["""" Food"""","""" Coffee"""","""" Dunkin\' Donuts"""","""" All Dunkin\' Coffee""""]']"
100142899385,tang orange go_singles_drink_powder no_sugar,Tang,orange,,"['go_singles_drink_powder', 'no_sugar']","['tang_go_singles_drink', 'singles_drink_powder_mix', 'drink_powder_mix_orange', 'powder_mix_orange_ct', 'sugar_free']",[500.0],[6],[],[],0.9,0.85,1.0,1.0,1,"['"""" \n* 1 - box (6 packets) of Tang Zero Sugar Orange flavored powder mix \n* Mix with 16.9 fl oz of water for an easy drink on the go \n* An excellent source of Vitamin C \n* Gluten Free; Kosher \n* Only 5']","['["""" Food"""","""" Beverages"""","""" Powdered Drink Mixes"""","""" Tang""""]']"
100142899774,splenda water drink_mix_each_sweet tea_packaing_may_nbsp no_sugar zero,Splenda,,water,"['drink_mix_each_sweet', 'tea_packaing_may_nbsp', 'no_sugar', 'zero']","['mix_each_sweet_tea', 'each_sweet_tea_packaing', 'sweet_tea_packaing_may', 'sugar_free']",[48.0],[2],['bottle'],[],0.9,0.85,1.0,1.0,1,"['"""" \n* * 0 SUGAR, 0 CALORIES, 0 CARBS - Enjoy a great tasting drink without regretting the sugar, calories, or carbs \n* MADE WITH NATURAL FLAVORS - Classic sweet tea flavor made with real tea \n* 30 SERV']","['["""" Food"""","""" Beverages"""","""" Tea"""","""" Tea Shipped To You""""]']"
100142961532,starbucks frappuccino vanilla iced_coffee_multipack_pk still,Starbucks Frappuccino Vanilla,vanilla,,"['iced_coffee_multipack_pk', 'still']","['vanilla_iced_coffee_multipack', 'coffee_multipack_pk_type', 'multipack_pk_type_flavour', 'pk_type_flavour_vanilla']",[281.0],[4],['bottle'],[],0.9,0.85,1.0,1.0,1,"['"""" \n* Nutrition Facts \n* 4.0 About servings per container \n* Serving size 1 Bottle \n* Amount per serving \n* Calories 200 \n* % Daily value* \n* Total Fat3.5g Total Fat \n* Saturated Fat2g Saturated Fat \n*']","['["""" Food"""","""" Coffee"""","""" Bottled Coffee"""","""" Starbucks Frappuccino""""]']"
100145939866,g zero grape_sports_drink_volume no_sugar still,G Zero,,,"['grape_sports_drink_volume', 'no_sugar', 'still']","['zero_grape_sports_drink', 'sports_drink_volume_type', 'claims_sugar_flavour_grape', 'sugar_flavour_grape_juice', 'sugar_free']",[591.0],[8],['bottle'],[],0.9,0.85,1.0,1.0,1,"['""""G Zero Grape Sports Drink, 8 pack, 20 fl oz bottles"""" ; Flavor Grape ; Container Type Bottle ; Food Form Liquids ; Brand Gatorade']","['["""" Food"""","""" Beverages"""","""" Sports Drinks"""","""" Gatorade""""]']"
100149008186,margaritaville flavors go_drink_mix_variety,Margaritaville,,,"['flavors', 'go_drink_mix_variety']","['drink_mix_variety_sonic', 'mix_variety_sonic_flavors', 'variety_sonic_flavors_jolly']",[],[12],[],[],0.0,0.85,1.0,1.0,1,"['"""" \n* Tired of boring plain water? Shake up your hydration routine with our SINGLES TO GO! Drink Mix Variety 12 Pack. With popular Sonic, Jolly, and Starburst flavors to choose from, this pack has some']","['["""" Food"""","""" Beverages"""","""" Powdered Drink Mixes"""","""" All Powdered Drink Mix""""]']"
100403031103,thick easy tea still,Thick & Easy,,tea,['still'],"['easy_clear_thickened_iced', 'clear_thickened_iced_tea', 'thickened_iced_tea_nectar', 'iced_tea_nectar_consistency', 'tea_nectar_consistency_flavour']",[118.0],[24],[],[],0.9,0.9,1.0,1.0,1,"['"""" \n* Flavor: Iced Tea \n* Brand: Thick & Easy \n* Item Weight: 6.35 Pounds \n* Specialty: Gluten Free \n* Package Weight: 3.38 Kilograms \n* Ready to serve, pre-thickened liquids are labor saving and consi']","['["""" Food"""","""" Beverages"""","""" Tea"""","""" Tea Shipped To You""""]']"
10043000021436,tang orange energy drink_mix_jugs_material,Tang,orange,energy,['drink_mix_jugs_material'],"['tang_orange_energy_drink', 'orange_energy_drink_mix', 'energy_drink_mix_jugs', 'mix_jugs_material_type']",[751.17],[12],[],[],0.75,0.9,1.0,1.0,1,"[""25.4 oz. Orange Energy Drink Mix (12 Count)\nFrozen-only format.\nFortified with 5 energy-releasing B vitamins\nContains 60 mg of caffeine plus a full day's supply of vitamin c (per 8 fl. oz. serving)\nRe""]","['["""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Powdered Drink Mixes & Flavorings""""]']"
10043000064518,tang pineapple drink_mix_canisters_material,Tang,pineapple,,['drink_mix_canisters_material'],"['tang_guava_pineapple_sweetened', 'guava_pineapple_sweetened_powdered', 'pineapple_sweetened_powdered_drink', 'mix_canisters_material_type']",[532.32],[12],[],[],0.75,0.85,1.0,1.0,1,['Delicious Refreshing Guava Pineapple taste Artificial flavor\n100% Daily Value of Vitamin C\nContainer makes 6 quarts\n80 Calories per 1 / 8 cap(makes 8 fl oz of drink)\nKosher'],"['["""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Powdered Drink Mixes & Flavorings""""]']"
10043000064532,tang vitamin_passion_fruit_sweetened drink_mix_canisters_concentrate,Tang,,,"['vitamin_passion_fruit_sweetened', 'drink_mix_canisters_concentrate']","['tang_vitamin_passion_fruit', 'passion_fruit_sweetened_powdered', 'fruit_sweetened_powdered_drink']",[532.32],[12],[],[],0.75,0.85,1.0,1.0,1,['Delicious Refreshing Passionfruit taste Artificial flavor\n100% Daily Value of Vitamin C\nContainer makes 6 quarts\n80 Calories per 1 / 8 cap(makes 8 fl oz of drink)\nKosher'],"['["""" Any Department"""","""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Powdered Drink Mixes & Flavorings"""","""" Soft Drink Mixes""""]']"
10072058610576,thick it water unflavored_ct_weight_1304 still,Thick- It,,water,"['unflavored_ct_weight_1304', 'still']","['water_unflavored_ct_weight', 'ct_weight_1304_carbonization', 'weight_1304_carbonization_still', '1304_carbonization_still_health']",[1360.38],[4],['bottle'],[],0.75,0.85,1.0,1.0,1,"['Stay hydrated while managing throat conditions with Thick- It Clear Advantage thickened water. Mixed with xanthan gum, it has a nectar-level consistency to make it easier to swallow, and to prevent ac']","['["""" Health and Wellness"""","""" Vitamins & Supplements"""","""" Nutrition / Diet Supplements (6626)""""]']"
10072058619586,thick it apple juice plastic_volume_237_flavour no_sugar still,Thick- It,apple,juice,"['plastic_volume_237_flavour', 'no_sugar', 'still']","['beverage_mildly_thick_apple', 'mildly_thick_apple_juice', 'thick_apple_juice_material', '237_flavour_apple_carbonization', 'sugar_free']",[237.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['Apple Juice Mildly Thick 237ml. Specifically designed to provide proper nutrition and hydration for people with swallowing disorders. Ready-to-drink and made from 100% juice, our thickened apple juice']","['["""" Pantry, Household & Pets"""","""" Drinks"""","""" Juice"""","""" Non- Chilled Juices""""]']"
10072058619722,thick it coffee no_sugar still,Thick- It,coffee,,"['no_sugar', 'still']","['beverage_mildly_thick_regular', 'mildly_thick_regular_coffee', 'thick_regular_coffee_carbonization', 'regular_coffee_carbonization_still', 'flavour_coffee_volume_237', 'sugar_free']",[237.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['Regular Coffee Mildly Thick 237ml. Specifically designed to provide proper nutrition and hydration for people with swallowing disorders. Ready-to-drink and made with a premium roast blend, our thicken']","['["""" Pantry, Household & Pets"""","""" Drinks"""","""" Coffee"""","""" Instant Coffee""""]']"
10099429128638,thick easy lemon water ct_naturally_derived_natural still,Thick & Easy,lemon,water,"['ct_naturally_derived_natural', 'still']","['hormel_thick_easy_hydrolyte', 'thickened_water_lemon_ct', 'water_lemon_ct_naturally', 'lemon_ct_naturally_derived']",[1360.38],[6],['bottle'],[],0.75,0.85,1.0,1.0,1,"[""Hormel's Thick and Easy water is a convenient liquid option for individuals with dysphagia. Aspiration is a common problem when people with dysphagia drink thin liquids. Therefore, it is essential to""]","['["""" Health and Wellness"""","""" Vitamins & Supplements"""","""" Multi- Vitamins""""]']"
103402494269,l a juice all_cranberry_type_material still,L&A,,juice,"['all_cranberry_type_material', 'still']","['juice_all_cranberry_type', 'volume_946_flavour_cranberry', '946_flavour_cranberry_made', 'all_cranberry_type']",[946.0],[12],[],[],0.9,0.9,1.0,1.0,1,"[',']","['["""" Any Department"""","""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Juices""""]']"
10627843602771,maple 3 water carbonated,Maple 3,,water,['carbonated'],"['maple', 'maple_organic_sparkling_maple', 'organic_sparkling_maple_water', 'sparkling_maple_water_naturally', 'maple_water_naturally_derived', 'sparkling']",[750.0],[1],[],[],0.9,0.95,1.0,1.0,1,"['There is much more to hydration than just quenching your thirst. Maple water is the sap, pumped and filtered by the roots, that flows within the maple trees. Coming straight from our vast Canadian map']","['["""" Grocery"""","""" Drinks"""","""" Bottled Water"""","""" Sparkling Water""""]']"
10637910000041,bawls soda guarana_zero energy_caffeinated_drink_volume,Bawls,,soda,"['guarana_zero', 'energy_caffeinated_drink_volume']","['caffeinated_drink_volume_473', 'guarana_flavour_guarana_material', '473_flavour_guarana_juice', 'zero']",[473.0],"[1, 24]",['can'],[],0.9,0.9,1.0,0.5,2,"['BAWLS Zero\nHighly caffeinated premium soda', ""Experience a sustained energy boost with BAWLS Guarana's infusion of the powerful Guarana Berry. For long-lasting energy for gaming and to focus on those late-nights., Fuel your day with BAWLS Guarana""]","['["""" Any Department"""","""" Grocery & Gourmet Food"""","""" Beverages"""","""" Bottled Beverages, Water & Drink Mixes"""","""" Energy Drinks""""]', '["""" Grocery"""","""" Beverages"""","""" Energy Drinks"""","""" Caffeinated Energy Drinks""""]']"
10637910000232,bawls energy bag_juice_content_health zero,Bawls,,energy,"['bag_juice_content_health', 'zero']","['drink_flavour_guarana_energy', 'energy_drink_flavour_guarana', 'zero_energy_drink_flavour', 'flavour_guarana_energy_source']",[295.74],[1],['bottle'],[],0.75,0.95,1.0,1.0,1,"[""Experience a sustained energy boost with BAWLS Guarana's infusion of the powerful Guarana Berry. For long-lasting energy for gaming and to focus on those late-nights., Fuel your day with BAWLS Guarana""]","['["""" Grocery"""","""" Beverages"""","""" Energy Drinks"""","""" Caffeinated Energy Drinks""""]']"
10637910027833,bawls cherry energy drink_type_bag_volume,Bawls,cherry,energy,['drink_type_bag_volume'],"['soda_energy_drink_type', 'energy_drink_type_bag', 'type_bag_volume_473', 'bag_volume_473_juice']",[473.0],[1],['can'],[],0.9,0.95,1.0,1.0,1,"[""Experience a sustained energy boost with BAWLS Guarana's infusion of the powerful Guarana Berry. For long-lasting energy for gaming and to focus on those late-nights., Fuel your day with BAWLS Guarana""]","['["""" Grocery"""","""" Beverages"""","""" Sports Drinks"""","""" Electrolyte Sports Drinks""""]']"
